CHR	MeanPhaseCon	SD
1	0.997178	0.00213234
2	0.9974798	0.002017714
3	0.9974808	0.001994535
4	0.9975593	0.001952685
5	0.9974739	0.002038431
6	0.9977141	0.001952886
7	0.9972845	0.002073369
8	0.9974592	0.001966081
9	0.9968695	0.002015754
10	0.9971802	0.00206213
11	0.9973981	0.002017577
12	0.9972163	0.002016431
13	0.9972941	0.001972645
14	0.9971191	0.002119902
15	0.9966772	0.002120103
16	0.9965255	0.002164358
17	0.9960319	0.002557696
18	0.9970027	0.002064757
19	0.9951708	0.002895786
20	0.9965493	0.002218465
21	0.9964685	0.002190226
22	0.9952362	0.002898162
