Sample	Sex	popCode	popGroup
HG00096	M	GBR	EUR
HG00143	M	GBR	EUR
HG00109	M	GBR	EUR
HG00148	M	GBR	EUR
HG00150	F	GBR	EUR
HG00155	M	GBR	EUR
HG00158	F	GBR	EUR
HG00263	F	GBR	EUR
HG00160	M	GBR	EUR
HG00268	F	FIN	EUR
HG00177	F	FIN	EUR
HG00149	M	GBR	EUR
HG00275	F	FIN	EUR
HG00151	M	GBR	EUR
HG00254	F	GBR	EUR
HG00112	M	GBR	EUR
HG00259	F	GBR	EUR
HG00117	M	GBR	EUR
HG00113	M	GBR	EUR
HG00127	F	GBR	EUR
HG00118	F	GBR	EUR
HG00159	M	GBR	EUR
HG00174	F	FIN	EUR
HG00120	F	GBR	EUR
HG00139	M	GBR	EUR
HG00173	F	FIN	EUR
HG00179	F	FIN	EUR
HG00125	F	GBR	EUR
HG00141	M	GBR	EUR
HG00178	F	FIN	EUR
HG00181	M	FIN	EUR
HG00233	F	GBR	EUR
HG00278	M	FIN	EUR
HG00180	F	FIN	EUR
HG00186	M	FIN	EUR
HG00238	F	GBR	EUR
HG00280	M	FIN	EUR
HG00185	M	FIN	EUR
HG00240	F	GBR	EUR
HG00285	F	FIN	EUR
HG00251	M	GBR	EUR
HG00245	F	GBR	EUR
HG00250	F	GBR	EUR
HG00256	M	GBR	EUR
HG00189	M	FIN	EUR
HG00255	F	GBR	EUR
HG00232	F	GBR	EUR
HG00101	M	GBR	EUR
HG00235	F	GBR	EUR
HG00128	F	GBR	EUR
HG00237	F	GBR	EUR
HG00106	F	GBR	EUR
HG00242	M	GBR	EUR
HG00130	F	GBR	EUR
HG00244	M	GBR	EUR
HG00252	M	GBR	EUR
HG00261	F	GBR	EUR
HG00129	M	GBR	EUR
HG00257	F	GBR	EUR
HG00266	F	FIN	EUR
HG00142	M	GBR	EUR
HG00131	M	GBR	EUR
HG00132	F	GBR	EUR
HG00273	M	FIN	EUR
HG00318	F	FIN	EUR
HG00136	M	GBR	EUR
HG00137	F	GBR	EUR
HG00146	F	GBR	EUR
HG00320	F	FIN	EUR
HG00097	F	GBR	EUR
HG00182	M	FIN	EUR
HG00325	M	FIN	EUR
HG00100	F	GBR	EUR
HG00187	M	FIN	EUR
HG00110	F	GBR	EUR
HG00332	F	FIN	EUR
HG00105	M	GBR	EUR
HG00115	M	GBR	EUR
HG00262	F	GBR	EUR
HG00122	F	GBR	EUR
HG00267	M	FIN	EUR
HG00446	F	CHS	EAS
HG00103	M	GBR	EUR
HG00274	F	FIN	EUR
HG00108	M	GBR	EUR
HG00231	F	GBR	EUR
HG00458	F	CHS	EAS
HG00236	F	GBR	EUR
HG00473	F	CHS	EAS
HG00243	M	GBR	EUR
HG00472	M	CHS	EAS
HG00478	M	CHS	EAS
HG00111	F	GBR	EUR
HG00376	F	FIN	EUR
HG00475	M	CHS	EAS
HG00116	M	GBR	EUR
HG00383	F	FIN	EUR
